Position,Track Name,Artist,Streams,date,region,id
1,Dance Monkey,Tones and I,469469,2020-01-03,gb,1rgnBhdG2JDFTbYkYRZAku
2,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,422451,2020-01-03,gb,4QPEwDdOMhY7rNS05mTyMR
3,ROXANNE,Arizona Zervas,400442,2020-01-03,gb,696DnlkuDOXcMAnKlTgXXK
4,Before You Go,Lewis Capaldi,337720,2020-01-03,gb,2gMXnyrvIjhVBUZwvLZDMP
5,Don't Start Now,Dua Lipa,327316,2020-01-03,gb,6WrI0LAC5M1Rw2MnX2ZvEg
6,Yummy,Justin Bieber,285295,2020-01-03,gb,41L3O37CECZt3N7ziG2z7l
7,everything i wanted,Billie Eilish,284049,2020-01-03,gb,3ZCTVFBt2Brf31RLEnCkWJ
8,Adore You,Harry Styles,254387,2020-01-03,gb,3jjujdWJ72nww5eGnfs2E7
9,Someone You Loved,Lewis Capaldi,249040,2020-01-03,gb,7qEHsqek33rTcFNT9PFqLf
10,My Oh My (feat. DaBaby),Camila Cabello,238961,2020-01-03,gb,3yOlyBJuViE2YSGn3nVE1K
11,Falling,Trevor Daniel,234220,2020-01-03,gb,4TnjEaWOeW0eKTKIEvJyCa
12,Lose Control,MEDUZA,231762,2020-01-03,gb,7CHi4DtfK4heMlQaudCuHK
13,Blinding Lights,The Weeknd,225095,2020-01-03,gb,0sf12qNH5qcw8qpgymFOqD
14,Ride It,Regard,217758,2020-01-03,gb,2tnVG71enUj33Ic2nFN6kZ
15,Circles,Post Malone,212382,2020-01-03,gb,21jGcNKet2qwijlDFuPiPb
16,hot girl bummer,blackbear,209168,2020-01-03,gb,7aiClxsDWFRQ0Kzk5KI5ku
17,Memories,Maroon 5,202938,2020-01-03,gb,2b8fOow8UzyDFAE27YhOZM
18,bad guy,Billie Eilish,197652,2020-01-03,gb,2Fxmhks0bxGSBdJ92vM42m
19,The Box,Roddy Ricch,193714,2020-01-03,gb,0nbXyq5TXYPCO7pr3N8S4I
20,Vossi Bop,Stormzy,191179,2020-01-03,gb,5DXKtoZLm31msT7tNGNHLG
21,Lights Up,Harry Styles,187476,2020-01-03,gb,4jAIqgrPjKLTY9Gbez25Qb
22,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,184581,2020-01-03,gb,4vUmTMuQqjdnvlZmAH61Qk
23,Watermelon Sugar,Harry Styles,182892,2020-01-03,gb,6UelLqGlWMcVH1E5c4H7lY
24,Pump It Up,Endor,179062,2020-01-03,gb,0GiwV6v3AgJfdu59tj719Y
25,Lose You To Love Me,Selena Gomez,177812,2020-01-03,gb,1HfMVBKM75vxSfsQ5VefZ5
26,Audacity (feat. Headie One),Stormzy,168828,2020-01-03,gb,6Oq4fiDzKaFMU89dTvM24u
27,Bruises,Lewis Capaldi,166134,2020-01-03,gb,4Of7rzpRpV1mWRbhp5rAqG
28,Heartless,The Weeknd,160141,2020-01-03,gb,57vxBYXtHMk6H1aD29V7PU
29,This Is Real (ft. Ella Henderson),Jax Jones,159996,2020-01-03,gb,1pRShUtGOG6ZP5fsnw9G4h
30,Ladbroke Grove,AJ Tracey,154582,2020-01-03,gb,7b4ky1LlQLFhXHmhZkFgqV
31,Señorita,Shawn Mendes,148051,2020-01-03,gb,6v3KW9xbzN5yKLt9YKDYA2
32,Lucid Dreams,Juice WRLD,147512,2020-01-03,gb,285pBltuF7vW8TeWk8hdRR
33,I Don't Care (with Justin Bieber),Ed Sheeran,144224,2020-01-03,gb,0hVXuCcriWRGvwMV1r5Yn9
34,Don't Rush (feat. Headie One),Young T & Bugsey,142444,2020-01-03,gb,0PXukVbYpvz40KcEFKnIw7
35,Lessons,Stormzy,140025,2020-01-03,gb,5iVGN1Th2DqyWVNIBM8Vwk
36,Location (feat. Burna Boy),Dave,138102,2020-01-03,gb,3z4CGd63tpUn9a6oQSG0CI
37,Beautiful People (feat. Khalid),Ed Sheeran,135347,2020-01-03,gb,70eFcWOvlMObDhURTqT4Fv
38,Must Be,J Hus,130808,2020-01-03,gb,2n1oPHJVMPWJkjgHwVcksY
39,Turn Me On (feat. Vula),Riton,130524,2020-01-03,gb,0qaWEvPkts34WF68r8Dzx9
40,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,126823,2020-01-03,gb,0RiRZpuVRbi7oqRdSMwhQY
41,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,126691,2020-01-03,gb,07Oz5StQ7GRoygNLaXs2pd
42,HIGHEST IN THE ROOM,Travis Scott,126350,2020-01-03,gb,3eekarcy7kvN4yt5ZFzltW
43,Netflix & Chill,Fredo,124409,2020-01-03,gb,31m40qBxoj4iMSnQLkq8nP
44,Hold Me While You Wait,Lewis Capaldi,121865,2020-01-03,gb,60iSKGrGazRzICtMjADNSM
45,Strike a Pose (feat. Aitch),Young T & Bugsey,120784,2020-01-03,gb,23GvTfcGK454ppLsts3W44
46,No Idea,Don Toliver,117955,2020-01-03,gb,3VyjsVV24RmBIbWJAeUJNu
47,Higher Love,Kygo,113863,2020-01-03,gb,6oJ6le65B3SEqPwMRNXWjY
48,No Denying,J Hus,113130,2020-01-03,gb,2kUIOTeKv8ZeT6vh9gh7RF
49,Ransom,Lil Tecca,110308,2020-01-03,gb,1lOe9qE0vR9zwWQAOk6CoO
50,Nice To Meet Ya,Niall Horan,109562,2020-01-03,gb,3cphb8kdsjElYR7r5icK3H
51,Savage,MIST,108543,2020-01-03,gb,4MYPhAqmZxyBMBFknBhZHl
52,Falling,Harry Styles,106945,2020-01-03,gb,1ZMiCix7XSAbfAJlEZWMCp
53,New Dior,DigDat,106463,2020-01-03,gb,4aRRxKxJbvIEjXWXB0l3w7
54,Mr. Brightside,The Killers,105939,2020-01-03,gb,7d8GetOsjbxYnlo6Y9e5Kw
55,Crown,Stormzy,104550,2020-01-03,gb,4CEGyF5A5u5BjweVvkgCsn
56,3 Nights,Dominic Fike,104241,2020-01-03,gb,1tNJrcVe6gwLEiZCtprs1u
57,Be Honest,Jorja Smith,104225,2020-01-03,gb,3IWs9dAwTqN0EFhOIcBDfs
58,Professor X,Dave,102929,2020-01-03,gb,5wfyoR8XOkw45QRtFOoxyi
59,No Cellular Site,D-Block Europe,102695,2020-01-03,gb,5A5HUdwGAlJLC9vg5Dyhio
60,Taste (Make It Shake),Aitch,102664,2020-01-03,gb,1xPpYbCaJWonL7IFXPDjON
61,Piece Of Your Heart,MEDUZA,101719,2020-01-03,gb,1DFD5Fotzgn6yYXkYsKiGs
62,Gangsta,Darkoo,100903,2020-01-03,gb,0KzhyaVtr2v4J9GVdMgCk0
63,when the party's over,Billie Eilish,100234,2020-01-03,gb,43zdsphuZLzwA9k4DJhU0I
64,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,99938,2020-01-03,gb,7h0d2h0fUmzbs7zeFigJPn
65,Old Town Road - Remix,Lil Nas X,98903,2020-01-03,gb,2YpeDb67231RjR0MgVLzsG
66,Buss Down (feat. ZieZie),Aitch,98439,2020-01-03,gb,584UC3Qpm8SbYd7aRWKREu
67,Take Me Back to London (feat. Stormzy),Ed Sheeran,97087,2020-01-03,gb,1AI7UPw3fgwAFkvAlZWhE0
68,Bandit (with YoungBoy Never Broke Again),Juice WRLD,96418,2020-01-03,gb,6Gg1gjgKi2AK4e0qzsR7sd
69,Better Half of Me,Tom Walker,96018,2020-01-03,gb,4VPlKUSjC9HdZdUbFZ0Y5y
70,Sorry,Joel Corry,94443,2020-01-03,gb,6y1UtRcHQU07aUs3oxZ8Yn
71,"Down Like That (feat. Rick Ross, Lil Baby & S-X)",KSI,93770,2020-01-03,gb,4etKC4ngPKsQDHUMnYgV3A
72,Into the Unknown,Idina Menzel,90142,2020-01-03,gb,3Z0oQ8r78OUaHvGPiDBR3W
73,Up All Night,Khalid,89818,2020-01-03,gb,1mpD5Q8IM32I4bF6eCpU74
74,Wiley Flow,Stormzy,89758,2020-01-03,gb,5Rbj8akony3l0NNM5TjH1F
75,BOP,DaBaby,89338,2020-01-03,gb,6Ozh9Ok6h4Oi1wUSLtBseN
76,God Is A Dancer (with Mabel),Tiësto,89092,2020-01-03,gb,6fenHIxXuuzKB55wY4WCHP
77,Shotgun,George Ezra,88662,2020-01-03,gb,4ofwffwvvnbSkrMSCKQDaC
78,How Do You Sleep?,Sam Smith,88172,2020-01-03,gb,6b2RcmUt1g9N9mQ3CbjX2Y
79,7 rings,Ariana Grande,85253,2020-01-03,gb,6ocbgoVGwYJhOv1GgI9NsF
80,Don't Call Me Up,Mabel,85065,2020-01-03,gb,5WHTFyqSii0lmT9R21abT8
81,So High (feat. Fredo),MIST,84226,2020-01-03,gb,5aubXDnDNVKA5pS7EnR0mp
82,Loyal (feat. Drake),PARTYNEXTDOOR,81904,2020-01-03,gb,5bvnqVuq7UFl0txSlHpsfS
83,Say So,Doja Cat,81350,2020-01-03,gb,3Dv1eDb0MEgF93GpLXlucZ
84,Shallow,Lady Gaga,80046,2020-01-03,gb,2VxeLyX666F8uXCJ0dZF8B
85,We Got Love,Sigala,79582,2020-01-03,gb,35mMXfym6C9VOTUVrcKKZp
86,ocean eyes,Billie Eilish,79472,2020-01-03,gb,2uIX8YMNjGMD7441kqyyNU
87,Grace,Lewis Capaldi,79204,2020-01-03,gb,0pEkK8MqbmGSX7fT8WLMbR
88,lovely (with Khalid),Billie Eilish,78772,2020-01-03,gb,0u2P5u6lvoDfwTYjAADbn4
89,Sweet but Psycho,Ava Max,78533,2020-01-03,gb,25sgk305KZfyuqVBQIahim
90,Wow.,Post Malone,78374,2020-01-03,gb,7xQAfvXzm3AkraOtGPWIZg
91,Keisha & Becky - Remix,RussMB,78009,2020-01-03,gb,5wIjM4q7oIgiLqn8Qfoyxh
92,Ballin' (with Roddy Ricch),Mustard,76922,2020-01-03,gb,3QzAOrNlsabgbMwlZt7TAY
93,Truth Hurts,Lizzo,76571,2020-01-03,gb,5qmq61DAAOUaW8AUo8xKhh
94,Suicidal,YNW Melly,74733,2020-01-03,gb,1iSqfoUFnQwV0QW1EfUit8
95,July,Noah Cyrus,74204,2020-01-03,gb,5a6pdCHlWS2ekOOQ70QnAr
96,Both,Headie One,73970,2020-01-03,gb,0SxjNrhMwarsbcgEy0pavJ
